id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
172,,,,24000.0,0.03768,1.57e-06,XDN,Bittrex,
173,,,,1707391.04565756,2.697677852138945,1.58e-06,XDN,Bittrex,
174,,,,1129844.08556098,1.7964520960419583,1.59e-06,XDN,Bittrex,
175,,,,218884.40214724,0.350215043435584,1.6e-06,XDN,Bittrex,
176,,,,23416.59540373,0.037700718600005304,1.61e-06,XDN,Bittrex,
177,,,,2708.0,0.00438696,1.62e-06,XDN,Bittrex,
178,,,,1028382.15426707,1.6762629114553242,1.63e-06,XDN,Bittrex,
179,,,,350.0,0.000574,1.64e-06,XDN,Bittrex,
180,,,,21720.6786424,0.03583911975996,1.65e-06,XDN,Bittrex,
181,,,,9091.39784946,0.0151826344085982,1.67e-06,XDN,Bittrex,
182,,,,5925.05317826,0.0099540893394768,1.68e-06,XDN,Bittrex,
183,,,,1227250.0,2.0740525,1.69e-06,XDN,Bittrex,
184,,,,35381.4809434,0.06014851760378,1.7e-06,XDN,Bittrex,
185,,,,6596.92788462,0.0112807466827002,1.71e-06,XDN,Bittrex,
186,,,,2333.33333333,0.004013333333327601,1.72e-06,XDN,Bittrex,
187,,,,20664.23914063,0.0357491337132899,1.73e-06,XDN,Bittrex,
188,,,,9188.75676047,0.0159884367632178,1.74e-06,XDN,Bittrex,
189,,,,366472.12094202,0.641326211648535,1.75e-06,XDN,Bittrex,
190,,,,840.05681818,0.0014784999999968,1.76e-06,XDN,Bittrex,
191,,,,28144.87865566,0.0498164352205182,1.77e-06,XDN,Bittrex,
192,,,,30692.39786868,0.054632468206250395,1.78e-06,XDN,Bittrex,
193,,,,1704686.28418163,3.0513884486851177,1.79e-06,XDN,Bittrex,
194,,,,530715.50733766,0.9552879132077878,1.8e-06,XDN,Bittrex,
195,,,,394242.0,0.7175204399999999,1.82e-06,XDN,Bittrex,
196,,,,83787.79069767,0.15333165697673612,1.83e-06,XDN,Bittrex,
197,,,,46611.9606599,0.085766007614216,1.84e-06,XDN,Bittrex,
198,,,,28976.44603044,0.053606425156314,1.85e-06,XDN,Bittrex,
199,,,,102000.0,0.18972,1.86e-06,XDN,Bittrex,
200,,,,11920.70846154,0.0222917248230798,1.87e-06,XDN,Bittrex,
201,137.44076325,0.002619620947545,1.906e-05,56.47230354,0.0010938685195698,1.937e-05,EMC2,Bittrex,
202,139.49700497,0.0026406783040821002,1.893e-05,915.9440236,0.01776931405784,1.94e-05,EMC2,Bittrex,
203,2880.84183882,0.0544767191720862,1.891e-05,1935.8063317,0.037651433151565,1.945e-05,EMC2,Bittrex,
204,1803.8870676,0.034057387836288,1.888e-05,33.12302839,0.0006455678233211001,1.949e-05,EMC2,Bittrex,
205,5970.01371224,0.1126541587499688,1.887e-05,126.20281906,0.0024609549716699997,1.95e-05,EMC2,Bittrex,
206,286.75624891,0.0054082228544426,1.886e-05,5093.30775556,0.0997778989314204,1.959e-05,EMC2,Bittrex,
207,100.11704708,0.001882200485104,1.88e-05,27.22173563,0.0005354515398421,1.967e-05,EMC2,Bittrex,
208,5260.0,0.0984672,1.872e-05,1303.3122583,0.025701317733676,1.972e-05,EMC2,Bittrex,
209,149.10416232,0.002788247835384,1.87e-05,88.50560783,0.0017462156424859,1.973e-05,EMC2,Bittrex,
210,32373.17245529,0.6044071297402643,1.867e-05,510.90110584,0.01009029684034,1.975e-05,EMC2,Bittrex,
211,13898.80069386,0.2593516209474276,1.866e-05,510.90110583,0.0101056238733174,1.978e-05,EMC2,Bittrex,
212,13906.25313391,0.2593516209474215,1.865e-05,300.0,0.005937,1.979e-05,EMC2,Bittrex,
213,52.0,0.0009687599999999999,1.863e-05,5903.4795494,0.11688889507812,1.98e-05,EMC2,Bittrex,
214,334.03117514,0.006212979857604,1.86e-05,87.58539782,0.0017385701467270002,1.985e-05,EMC2,Bittrex,
215,13981.21945808,0.259351620947384,1.855e-05,500.0,0.00994,1.988e-05,EMC2,Bittrex,
216,3000.0,0.055619999999999996,1.854e-05,10050.26506498,0.1998997721424522,1.989e-05,EMC2,Bittrex,
217,1614.94873179,0.029925000000068702,1.853e-05,882.31007335,0.017557970459665,1.99e-05,EMC2,Bittrex,
218,1410.11930905,0.026115409603606,1.852e-05,527.0,0.01049784,1.992e-05,EMC2,Bittrex,
219,141.61495982,0.00261987675667,1.85e-05,15038.973575,0.29972674334975,1.993e-05,EMC2,Bittrex,
220,639.40747415,0.011816250122292,1.848e-05,2052.0,0.04101948,1.999e-05,EMC2,Bittrex,
221,1659.15941689,0.030528533270776002,1.84e-05,1482.03501884,0.029640700376800003,2e-05,EMC2,Bittrex,
222,17457.71958538,0.3200000000000154,1.833e-05,312.7482,0.006261218964,2.002e-05,EMC2,Bittrex,
223,16256.43634489,0.297492785111487,1.83e-05,280.0,0.0056112,2.004e-05,EMC2,Bittrex,
224,1691.76995183,0.0308071308228243,1.821e-05,49.86613589,0.0009998160245945,2.005e-05,EMC2,Bittrex,
225,133.16116873,0.002423533270886,1.82e-05,2205.36050131,0.0442836388663048,2.008e-05,EMC2,Bittrex,
226,800.0,0.014432,1.804e-05,5706.89902958,0.11470867049455802,2.01e-05,EMC2,Bittrex,
227,10490.12180396,0.18882219247128001,1.8e-05,149.07128589,0.0029993142721068005,2.012e-05,EMC2,Bittrex,
228,1762.13038237,0.0316831042750126,1.798e-05,40.14278225,0.0008080742066925,2.013e-05,EMC2,Bittrex,
229,16671.3091922,0.29924999999998997,1.795e-05,49.47037291,0.0009997962365111,2.021e-05,EMC2,Bittrex,
230,1178.31317506,0.021091805833574003,1.79e-05,92.39071775,0.0018718359416149998,2.026e-05,EMC2,Bittrex,
231,339.477888,0.00606307507968,1.786e-05,49.0777509,0.000999713785833,2.037e-05,EMC2,Bittrex,
232,1000.0,0.01785,1.785e-05,26.52199512,0.0005405182605456,2.038e-05,EMC2,Bittrex,
233,32.48237533,0.000578186280874,1.78e-05,5000.0,0.10200000000000001,2.04e-05,EMC2,Bittrex,
234,51.7349809,0.0009203653102109999,1.779e-05,213.0,0.00435159,2.043e-05,EMC2,Bittrex,
