coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1477852200.0,692.92,724.0,687.6,701.9,24288984.340000004,34372.51,30-10-2016 18:30,686.0079208827283,629.301,572.5940791172718
BTC,Bitfinex,1478111400.0,701.6,753.65,676.0,690.07,41852795.25,57604.87,02-11-2016 18:30,695.1606577683918,633.0449999999998,570.9293422316078
BTC,Bitfinex,1478370600.0,696.91,721.61,687.01,713.01,18919478.98,26828.27,05-11-2016 18:30,708.5216165754189,637.7605000000001,566.9993834245813
BTC,Bitfinex,1478629800.0,712.71,743.06,700.02,723.85,20511331.86,28454.69,08-11-2016 18:30,722.4113425940602,642.528,562.6446574059398
BTC,Bitfinex,1478889000.0,724.39,725.0,700.1,703.8,10773858.41,15125.669999999998,11-11-2016 18:30,730.0140653244353,647.0225,564.0309346755648
BTC,Bitfinex,1479148200.0,703.4,720.05,687.6,712.18,15805811.5,22438.75,14-11-2016 18:30,737.9121776415569,652.1305,566.348822358443
BTC,Bitfinex,1479407400.0,711.02,763.85,710.0,751.34,28513628.15,38461.55,17-11-2016 18:30,752.8444314038303,659.2095,565.5745685961698
BTC,Bitfinex,1479666600.0,753.97,759.99,711.16,738.78,19576677.61,26535.16,20-11-2016 18:30,761.4540310266494,666.3100000000002,571.1659689733509
BTC,Bitfinex,1479925800.0,739.0,753.91,727.61,737.33,15536520.52,20969.99,23-11-2016 18:30,768.0440821985849,673.1595000000001,578.2749178014153
BTC,Bitfinex,1480185000.0,736.62,741.12,720.0,722.83,8623316.77,11784.98,26-11-2016 18:30,770.7340335705181,679.106,587.4779664294819
BTC,Bitfinex,1480444200.0,725.76,743.14,725.68,740.0,11100138.86,15124.35,29-11-2016 18:30,775.5855782390565,685.4020000000002,595.2184217609438
BTC,Bitfinex,1480703400.0,740.0,779.21,739.2,764.41,24359859.3,32017.35,02-12-2016 18:30,782.687863037502,693.0895,603.4911369624981
BTC,Bitfinex,1480962600.0,764.27,769.99,744.59,756.81,14437880.15,19096.68,05-12-2016 18:30,786.8585743974838,699.9889999999999,613.119425602516
BTC,Bitfinex,1481221800.0,756.97,774.92,746.16,770.5,14253579.53,18599.87,08-12-2016 18:30,791.195139609613,707.5735,623.951860390387
BTC,Bitfinex,1481481000.0,770.03,785.0,761.84,778.0,10241203.72,13236.87,11-12-2016 18:30,797.0860229661545,714.6005,632.1149770338455
BTC,Bitfinex,1481740200.0,778.0,788.87,762.89,777.31,9442957.06,12141.510000000002,14-12-2016 18:30,801.3815441688439,721.26,641.1384558311561
BTC,Bitfinex,1481999400.0,777.79,793.0,775.85,790.32,9624284.08,12236.69,17-12-2016 18:30,803.3899692639461,729.2099999999999,655.0300307360537
BTC,Bitfinex,1482258600.0,790.13,828.69,787.75,825.99,17447202.91,21607.67,20-12-2016 18:30,816.2928140593806,737.3664999999999,658.4401859406191
BTC,Bitfinex,1482517800.0,830.0,920.0,828.35,893.02,39589068.15,44709.18,23-12-2016 18:30,845.0973878366588,749.2104999999999,653.3236121633411
BTC,Bitfinex,1482777000.0,893.67,940.0,858.62,929.87,27754519.840000004,30755.98,26-12-2016 18:30,881.5746010872253,761.066,640.5573989127747
BTC,Bitfinex,1483036200.0,943.14,983.0,929.5,960.04,53852396.92,56090.82,29-12-2016 18:30,919.1417561564128,773.9730000000002,628.8042438435875
BTC,Bitfinex,1483295400.0,960.25,1035.0,945.01,1020.0,37685142.7,37737.18,01-01-2017 18:30,965.6361177643445,790.4694999999999,615.3028822356554
BTC,Bitfinex,1483554600.0,1020.7,1166.0,851.0,988.1,136714618.75,130178.43,04-01-2017 18:30,995.3735931881624,804.224,613.0744068118377
