coin,exchange,unix_timestamp,time,open,high,low,close,volumefrom,volumeto,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1529607600,2018-06-21 19:00:00,6698.8,6724.0,6698.8,6714.2,166.26,1116240.01,6780.750547921681,6737.975,6695.19945207832
BTC,Bitfinex,1529611200,2018-06-21 20:00:00,6714.2,6730.9,6706.9,6715.5,365.9,2458943.43,6779.190730789782,6736.035000000003,6692.879269210221
BTC,Bitfinex,1529614800,2018-06-21 21:00:00,6715.5,6722.0,6706.89,6707.9,290.01,1946996.72,6777.4235657374475,6733.63,6689.836434262554
BTC,Bitfinex,1529618400,2018-06-21 22:00:00,6707.9,6750.0,6705.0,6722.6,432.2,2906626.24,6770.499898785294,6730.979999999999,6691.460101214703
BTC,Bitfinex,1529622000,2018-06-21 23:00:00,6722.6,6726.0,6711.6,6715.2,122.67,824046.84,6765.5016161399535,6728.5300000000025,6691.558383860048
BTC,Bitfinex,1529625600,2018-06-22 00:00:00,6715.2,6731.0,6713.5,6719.0,164.42,1104852.08,6760.310720756236,6726.404999999999,6692.499279243761
BTC,Bitfinex,1529629200,2018-06-22 01:00:00,6719.0,6722.2,6616.34,6640.8,1890.12,12602138.73,6769.606578705683,6720.895,6672.183421294317
BTC,Bitfinex,1529632800,2018-06-22 02:00:00,6640.8,6683.6,6629.4,6663.1,872.87,5806172.15,6765.572259015196,6715.660000000003,6665.747740984803
BTC,Bitfinex,1529636400,2018-06-22 03:00:00,6663.1,6674.1,6659.3,6662.7,197.9,1319410.58,6761.959773528046,6710.9050000000025,6659.8502264719555
BTC,Bitfinex,1529640000,2018-06-22 04:00:00,6662.7,6671.9,6650.5,6657.8,349.44,2326081.25,6762.872937489816,6707.45,6652.027062510184
BTC,Bitfinex,1529643600,2018-06-22 05:00:00,6657.8,6672.0,6649.0,6654.4,203.87,1357795.89,6761.722004250069,6703.370000000001,6645.0179957499295
BTC,Bitfinex,1529647200,2018-06-22 06:00:00,6654.4,6666.4,6635.3,6642.7,845.07,5618073.63,6759.181195783263,6698.3,6637.418804216737
BTC,Bitfinex,1529650800,2018-06-22 07:00:00,6642.7,6642.8,6461.6,6501.0,5540.15,36176211.46,6790.558744328659,6686.83,6583.101255671341
BTC,Bitfinex,1529654400,2018-06-22 08:00:00,6501.0,6517.8,6352.1,6403.1,2952.22,18980236.81,6831.531353560035,6671.185,6510.838646439965
BTC,Bitfinex,1529658000,2018-06-22 09:00:00,6403.1,6403.31,6286.3,6305.3,2045.94,13014187.02,6873.906300040907,6650.105000000001,6426.303699959094
BTC,Bitfinex,1529661600,2018-06-22 10:00:00,6305.3,6387.0,6299.0,6363.2,3252.22,20598511.29,6885.071247626508,6631.95,6378.8287523734925
BTC,Bitfinex,1529665200,2018-06-22 11:00:00,6363.2,6380.3,6330.0,6354.4,1155.97,7344781.59,6890.907691836474,6613.8650000000025,6336.822308163525
BTC,Bitfinex,1529668800,2018-06-22 12:00:00,6354.4,6360.0,6322.8,6334.1,835.34,5298789.79,6891.71012896389,6594.339999999997,6296.96987103611
BTC,Bitfinex,1529672400,2018-06-22 13:00:00,6334.1,6336.8,6075.0,6123.6,8602.24,53120173.06,6920.745103682088,6564.9699999999975,6209.194896317913
BTC,Bitfinex,1529676000,2018-06-22 14:00:00,6123.6,6199.5,6123.6,6164.4,2549.61,15711646.61,6928.41568531843,6538.25,6148.08431468157
BTC,Bitfinex,1529679600,2018-06-22 15:00:00,6164.4,6185.1,6106.0,6153.0,1759.1,10799908.96,6925.607428137049,6510.190000000001,6094.772571862952
BTC,Bitfinex,1529683200,2018-06-22 16:00:00,6153.0,6183.9,6115.0,6171.8,1591.71,9776543.74,6912.058215697074,6483.005,6053.951784302926
BTC,Bitfinex,1529686800,2018-06-22 17:00:00,6171.8,6177.0,6115.0,6147.6,597.62,3677329.19,6894.684270601744,6454.99,6015.2957293982545
BTC,Bitfinex,1529690400,2018-06-22 18:00:00,6147.6,6240.0,6146.1,6209.9,948.19,5870677.62,6863.397898686294,6429.355000000001,5995.312101313707
BTC,Bitfinex,1529694000,2018-06-22 19:00:00,6209.9,6228.9,6180.0,6188.4,1135.72,7045640.29,6828.3248224823865,6403.015,5977.705177517613
BTC,Bitfinex,1529697600,2018-06-22 20:00:00,6188.4,6204.2,6008.0,6051.0,4268.37,25881604.57,6795.337695072743,6369.615,5943.892304927256
BTC,Bitfinex,1529701200,2018-06-22 21:00:00,6051.0,6054.3,5927.0,6019.6,6921.92,41470030.04,6771.191981660145,6338.555,5905.918018339856
BTC,Bitfinex,1529704800,2018-06-22 22:00:00,6019.6,6094.4,5910.8,6068.6,4028.23,24188790.07,6729.72155895551,6308.83,5887.93844104449
BTC,Bitfinex,1529708400,2018-06-22 23:00:00,6068.6,6068.6,6011.8,6042.6,1107.39,6689816.55,6680.857692842653,6277.825000000003,5874.792307157349
BTC,Bitfinex,1529712000,2018-06-23 00:00:00,6042.6,6171.6,6040.0,6129.2,1847.05,11285781.62,6619.067204415836,6251.395,5883.722795584165
BTC,Bitfinex,1529715600,2018-06-23 01:00:00,6129.2,6148.9,6109.9,6130.0,824.01,5048323.66,6545.95161931631,6225.175000000001,5904.398380683691
